Month_Index,Total_Revenue_NAD_000,Fixed_OPEX_NAD_000,Variable_OPEX_NAD_000,Total_OPEX_NAD_000,Depreciation_NAD_000,EBIT_NAD_000,Interest_Expense_NAD_000,Tax_Expense_NAD_000,NPAT_NAD_000,EBITDA_NAD_000,Total_Revenue_USD_000,Fixed_OPEX_USD_000,Variable_OPEX_USD_000,Total_OPEX_USD_000,Depreciation_USD_000,EBIT_USD_000,Interest_Expense_USD_000,Tax_Expense_USD_000,NPAT_USD_000,EBITDA_USD_000
31,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.566597653554176,16.757246376811594,38.32384403036577,4.2867207269381185,-42.61056475730389,0.0,0.0,-42.61056475730389,-38.32384403036577
32,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.54429507066529,16.73991726990693,38.28421234057222,4.282287716879237,-42.56650005745146,0.0,0.0,-42.56650005745146,-38.28421234057222
33,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.522038567493116,16.722623966942148,38.244662534435264,4.277863865932048,-42.52252640036731,0.0,0.0,-42.52252640036731,-38.244662534435264
34,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.49982800137599,16.705366357069146,38.20519435844514,4.273449145740168,-42.47864350418531,0.0,0.0,-42.47864350418531,-38.20519435844514
35,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.47766323024055,16.688144329896907,38.165807560137466,4.269043528064147,-42.43485108820161,0.0,0.0,-42.43485108820161,-38.165807560137466
36,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.455544112598695,16.670957775489185,38.12650188808788,4.264646984780867,-42.39114887286875,0.0,0.0,-42.39114887286875,-38.12650188808788
37,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.254901960784313,16.794543904518328,39.04944586530264,4.236288718385905,-43.285734583688544,0.0,0.0,-43.285734583688544,-39.04944586530264
38,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.232158065065576,16.777380344064042,39.00953840912962,4.23195934820871,-43.24149775733833,0.0,0.0,-43.24149775733833,-39.00953840912962
39,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.20946060915433,16.760251829164538,38.969712438318865,4.227638817991038,-43.19735125630991,0.0,0.0,-43.19735125630991,-38.969712438318865
40,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.186809450960393,16.743158252592213,38.929967703552606,4.223327100685592,-43.1532948042382,0.0,0.0,-43.1532948042382,-38.929967703552606
41,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.16420444897266,16.726099507556462,38.890303956529124,4.219024169355295,-43.10932812588442,0.0,0.0,-43.10932812588442,-38.890303956529124
42,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.14164546225615,16.70907548770144,38.85072094995759,4.214729997172745,-43.06545094713034,0.0,0.0,-43.06545094713034,-38.85072094995759
43,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.119132350449075,16.692086087103878,38.81121843755295,4.210444557419646,-43.0216629949726,0.0,0.0,-43.0216629949726,-38.81121843755295
44,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.096664973759943,16.67513120027086,38.771796174030804,4.2061678234862585,-42.977963997517065,0.0,0.0,-42.977963997517065,-38.771796174030804
45,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.07424319296465,16.65821072213766,38.73245391510231,4.20189976887085,-42.934353683973164,0.0,0.0,-42.934353683973164,-38.73245391510231
46,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.051866869403614,16.64132454806555,38.693191417469166,4.19764036717914,-42.890831784648306,0.0,0.0,-42.890831784648306,-38.693191417469166
47,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.029535864978904,16.62447257383966,38.654008438818565,4.193389592123769,-42.84739803094234,0.0,0.0,-42.84739803094234,-38.654008438818565
